Items,Price,Link
Keycaps,15,https://curiositycaps.in/products/black-gray-yellow-cherry-doubleshot-pbt-keycaps
Switches,21,https://stackskb.com/store/akko-v3-cream-yellow-pro-switch-pack-of-45/
PCB,99,lioncircuits.com
LED,2,https://makerbazar.in/products/dip-led-1-8mm-nipple-tower-rocket-shape?variant=42134794731760
Diodes,2,https://makerbazar.in/products/dip-rectifier-diode-through-hole?variant=46889718120688
Resistors,1,https://makerbazar.in/products/carbon-film-resistor-dip-1-4-watt-resistance-through-hole-1-to-999ohm?variant=46388389904624
Headers,2,https://makerbazar.in/products/40-pin-male-female-header-strip
Raspberry Pico,5,https://makerbazar.in/products/raspberry-pi-pico-development-boards?variant=47233117356272
Rotatry Encoder,2,https://robu.in/product/hongyan-ec11h-7ce20p1zd20-rotary-encoder-with-push-button-switch-vertical-plug-in-5-pin/
,149,
